Brutto Netto Lohnsteuer Sozialabgaben effektive-prozentuale-Lohnsteuerbelastung*1000
100 100 0 19.80 0
200 200 0 39.60 0
300 300 0 59.40 0
400 400 0 79.20 0
500 500 0 99.00 0
600 600 0 118.80 0
700 700 0 138.60 0
800 800 0 158.40 0
900 900 0 178.20 0
1000 1000 0 198.00 0
1100 1100 0 217.80 0
1200 1200 0 237.60 0
1300 1300 0 257.40 0
1400 1400 0 277.20 0
1500 1500 0 297.00 0
1600 1600 0 316.80 0
1700 1700 0 336.60 0
1800 1800 0 356.40 0
1900 1900 0 376.20 0
2000 2000 0 396.00 0
2100 2100 0 415.80 0
2200 2200 0 435.60 0
2300 2300 0 455.40 0
2400 2400 0 475.20 0
2500 2500 0 495.00 0
2600 2600 0 514.80 0
2700 2700 0 534.60 0
2800 2800 0 554.40 0
2900 2900 0 574.20 0
3000 3000 0 594.00 0
3100 3100 0 613.80 0
3200 3200 0 633.60 0
3300 3300 0 653.40 0
3400 3400 0 673.20 0
3500 3500 0 693.00 0
3600 3600 0 712.80 0
3700 3700 0 732.60 0
3800 3800 0 752.40 0
3900 3900 0 772.20 0
4000 4000 0 792.00 0
4100 4100 0 811.80 0
4200 4200 0 831.60 0
4300 4300 0 851.40 0
4400 4400 0 871.20 0
4500 4500 0 891.00 0
4600 4600 0 910.80 0
4700 4700 0 930.60 0
4800 4800 0 950.40 0
4900 4900 0 970.20 0
5000 5000 0 990.00 0
5100 5100 0 1009.80 0
5200 5200 0 1029.60 0
5300 5300 0 1049.40 0
5400 5400 0 1069.20 0
5500 5500 0 1089.00 0
5600 5600 0 1108.80 0
5700 5700 0 1128.60 0
5800 5800 0 1148.40 0
5900 5900 0 1168.20 0
6000 6000 0 1188.00 0
6100 6100 0 1207.80 0
6200 6200 0 1227.60 0
6300 6300 0 1247.40 0
6400 6400 0 1267.20 0
6500 6500 0 1287.00 0
6600 6600 0 1306.80 0
6700 6700 0 1326.60 0
6800 6800 0 1346.40 0
6900 6900 0 1366.20 0
7000 7000 0 1386.00 0
7100 7100 0 1405.80 0
7200 7200 0 1425.60 0
7300 7300 0 1445.40 0
7400 7400 0 1465.20 0
7500 7500 0 1485.00 0
7600 7600 0 1504.80 0
7700 7700 0 1524.60 0
7800 7800 0 1544.40 0
7900 7900 0 1564.20 0
8000 8000 0 1584.00 0
8100 8100 0 1603.80 0
8200 8200 0 1623.60 0
8300 8300 0 1643.40 0
8400 8400 0 1663.20 0
8500 8500 0 1683.00 0
8600 8600 0 1702.80 0
8700 8700 0 1722.60 0
8800 8800 0 1742.40 0
8900 8900 0 1762.20 0
9000 9000 0 1782.00 0
9100 9100 0 1801.80 0
9200 9200 0 1821.60 0
9300 9300 0 1841.40 0
9400 9400 0 1861.20 0
9500 9500 0 1881.00 0
9600 9600 0 1900.80 0
9700 9700 0 1920.60 0
9800 9800 0 1940.40 0
9900 9900 0 1960.20 0
10000 10000 0 1980.00 0
10100 10100 0 1999.80 0
10200 10200 0 2019.60 0
10300 10300 0 2039.40 0
10400 10400 0 2059.20 0
10500 10500 0 2079.00 0
10600 10600 0 2098.80 0
10700 10700 0 2118.60 0
10800 10800 0 2138.40 0
10900 10900 0 2158.20 0
11000 10987.04 12.96 2178.00 .11
11100 11072.76 27.24 2197.80 .24
11200 11158.29 41.71 2217.60 .37
11300 11243.62 56.38 2237.40 .49
11400 11328.75 71.25 2257.20 .62
11500 11413.69 86.31 2277.00 .75
11600 11498.44 101.56 2296.80 .87
11700 11582.98 117.02 2316.60 1.00
11800 11667.33 132.67 2336.40 1.12
11900 11751.49 148.51 2356.20 1.24
12000 11835.45 164.55 2376.00 1.37
12100 11919.21 180.79 2395.80 1.49
12200 12002.78 197.22 2415.60 1.61
12300 12086.15 213.85 2435.40 1.73
12400 12169.33 230.67 2455.20 1.86
12500 12252.31 247.69 2475.00 1.98
12600 12335.09 264.91 2494.80 2.10
12700 12417.68 282.32 2514.60 2.22
12800 12500.07 299.93 2534.40 2.34
12900 12582.27 317.73 2554.20 2.46
13000 12664.27 335.73 2574.00 2.58
13100 12746.08 353.92 2593.80 2.70
13200 12827.69 372.31 2613.60 2.82
13300 12909.10 390.90 2633.40 2.93
13400 12990.32 409.68 2653.20 3.05
13500 13071.34 428.66 2673.00 3.17
13600 13152.17 447.83 2692.80 3.29
13700 13232.80 467.20 2712.60 3.41
13800 13313.23 486.77 2732.40 3.52
13900 13393.47 506.53 2752.20 3.64
14000 13473.51 526.49 2772.00 3.76
14100 13553.36 546.64 2791.80 3.87
14200 13633.01 566.99 2811.60 3.99
14300 13712.46 587.54 2831.40 4.10
14400 13791.72 608.28 2851.20 4.22
14500 13870.79 629.21 2871.00 4.33
14600 13949.65 650.35 2890.80 4.45
14700 14028.33 671.67 2910.60 4.56
14800 14106.80 693.20 2930.40 4.68
14900 14185.08 714.92 2950.20 4.79
15000 14263.17 736.83 2970.00 4.91
15100 14341.06 758.94 2989.80 5.02
15200 14418.75 781.25 3009.60 5.13
15300 14496.24 803.76 3029.40 5.25
15400 14573.55 826.45 3049.20 5.36
15500 14650.65 849.35 3069.00 5.47
15600 14727.56 872.44 3088.80 5.59
15700 14804.27 895.73 3108.60 5.70
15800 14880.79 919.21 3128.40 5.81
15900 14957.11 942.89 3148.20 5.93
16000 15033.24 966.76 3168.00 6.04
16100 15109.25 990.75 3187.80 6.15
16200 15185.22 1014.78 3207.60 6.26
16300 15261.15 1038.85 3227.40 6.37
16400 15337.05 1062.95 3247.20 6.48
16500 15412.90 1087.10 3267.00 6.58
16600 15488.72 1111.28 3286.80 6.69
16700 15564.50 1135.50 3306.60 6.79
16800 15640.24 1159.76 3326.40 6.90
16900 15715.94 1184.06 3346.20 7.00
17000 15791.61 1208.39 3366.00 7.10
17100 15867.23 1232.77 3385.80 7.20
17200 15942.82 1257.18 3405.60 7.30
17300 16018.37 1281.63 3425.40 7.40
17400 16093.88 1306.12 3445.20 7.50
17500 16169.35 1330.65 3465.00 7.60
17600 16244.78 1355.22 3484.80 7.70
17700 16320.17 1379.83 3504.60 7.79
17800 16395.53 1404.47 3524.40 7.89
17900 16470.85 1429.15 3544.20 7.98
18000 16546.12 1453.88 3564.00 8.07
18100 16621.36 1478.64 3583.80 8.16
18200 16696.57 1503.43 3603.60 8.26
18300 16771.73 1528.27 3623.40 8.35
18400 16846.85 1553.15 3643.20 8.44
18500 16921.94 1578.06 3663.00 8.53
18600 16996.99 1603.01 3682.80 8.61
18700 17072.00 1628.00 3702.60 8.70
18800 17146.97 1653.03 3722.40 8.79
18900 17221.90 1678.10 3742.20 8.87
19000 17296.79 1703.21 3762.00 8.96
19100 17371.65 1728.35 3781.80 9.04
19200 17446.46 1753.54 3801.60 9.13
19300 17521.24 1778.76 3821.40 9.21
19400 17595.98 1804.02 3841.20 9.29
19500 17670.68 1829.32 3861.00 9.38
19600 17745.34 1854.66 3880.80 9.46
19700 17819.97 1880.03 3900.60 9.54
19800 17894.55 1905.45 3920.40 9.62
19900 17969.10 1930.90 3940.20 9.70
20000 18043.61 1956.39 3960.00 9.78
20100 18118.08 1981.92 3979.80 9.86
20200 18192.51 2007.49 3999.60 9.93
20300 18266.90 2033.10 4019.40 10.01
20400 18341.25 2058.75 4039.20 10.09
20500 18415.57 2084.43 4059.00 10.16
20600 18489.85 2110.15 4078.80 10.24
20700 18564.08 2135.92 4098.60 10.31
20800 18638.28 2161.72 4118.40 10.39
20900 18712.45 2187.55 4138.20 10.46
21000 18786.57 2213.43 4158.00 10.54
21100 18860.65 2239.35 4177.80 10.61
21200 18934.70 2265.30 4197.60 10.68
21300 19008.71 2291.29 4217.40 10.75
21400 19082.68 2317.32 4237.20 10.82
21500 19156.61 2343.39 4257.00 10.89
21600 19230.50 2369.50 4276.80 10.96
21700 19304.35 2395.65 4296.60 11.03
21800 19378.17 2421.83 4316.40 11.10
